time,api_called_at,temperature_2m,relativehumidity_2m,surface_pressure,windspeed_10m,windspeed_80m,windspeed_120m,windspeed_180m,winddirection_10m,winddirection_80m,winddirection_120m,winddirection_180m,direct_normal_irradiance,direct_normal_irradiance_instant,customer_id,datetime_gmt,generation_mw
2023-06-09 17:00:00,2023-06-09 16:30:00,23.7,50.0,1008.8,18.0,28.3,29.8,30.9,78.0,78.0,78.0,78.0,826.5,803.2,1,2023-06-09 17:00:00,35.09692
2023-06-09 18:00:00,2023-06-09 16:30:00,22.8,53.0,1008.9,16.9,27.2,29.0,30.1,78.0,79.0,79.0,78.0,774.5,739.8,1,2023-06-09 18:00:00,12.937357
2023-06-09 19:00:00,2023-06-09 16:30:00,22.0,56.0,1008.9,15.5,25.9,27.5,28.3,68.0,69.0,68.0,68.0,694.4,638.5,1,2023-06-09 19:00:00,4.6948669999999995
2023-06-09 20:00:00,2023-06-09 16:30:00,21.1,61.0,1009.2,14.1,24.5,26.5,27.8,71.0,70.0,69.0,69.0,562.1,469.9,1,2023-06-09 20:00:00,0.397526
2023-06-09 21:00:00,2023-06-09 16:30:00,20.1,66.0,1009.6,12.2,23.7,26.6,29.0,66.0,66.0,65.0,65.0,286.2,43.3,1,2023-06-09 21:00:00,0.0
2023-06-09 22:00:00,2023-06-09 16:30:00,19.0,72.0,1009.8,11.8,23.6,27.6,31.3,59.0,59.0,59.0,61.0,3.5,0.0,1,2023-06-09 22:00:00,0.0
2023-06-09 23:00:00,2023-06-09 16:30:00,17.9,77.0,1009.7,12.0,23.6,27.6,32.0,51.0,52.0,54.0,59.0,0.0,0.0,1,2023-06-09 23:00:00,0.0
2023-06-10 00:00:00,2023-06-09 16:30:00,17.0,80.0,1009.4,10.0,19.9,23.3,28.8,49.0,49.0,51.0,58.0,0.0,0.0,1,2023-06-10 00:00:00,0.0
2023-06-10 01:00:00,2023-06-09 16:30:00,16.2,81.0,1009.4,9.7,19.9,23.9,28.3,48.0,49.0,53.0,63.0,0.0,0.0,1,2023-06-10 01:00:00,0.0
2023-06-10 02:00:00,2023-06-09 16:30:00,15.7,81.0,1009.2,8.9,19.9,25.0,29.3,47.0,48.0,54.0,64.0,0.0,0.0,1,2023-06-10 02:00:00,0.0
2023-06-10 03:00:00,2023-06-09 16:30:00,15.4,81.0,1009.2,7.1,17.1,21.5,25.3,49.0,49.0,55.0,66.0,0.0,0.0,1,2023-06-10 03:00:00,0.0
2023-06-10 04:00:00,2023-06-09 16:30:00,15.1,82.0,1008.9,7.9,19.2,22.3,25.7,47.0,50.0,59.0,70.0,0.0,0.0,1,2023-06-10 04:00:00,0.000845662
2023-06-10 05:00:00,2023-06-09 16:30:00,14.8,83.0,1008.8,8.2,20.7,24.0,27.0,49.0,51.0,60.0,71.0,0.0,0.0,1,2023-06-10 05:00:00,2.8079451000000004
2023-06-10 06:00:00,2023-06-09 16:30:00,15.1,82.0,1009.0,8.5,20.7,24.5,27.4,54.0,55.0,64.0,73.0,0.0,171.7,1,2023-06-10 06:00:00,8.386897
2023-06-10 07:00:00,2023-06-09 16:30:00,16.2,78.0,1009.1,7.8,16.3,21.6,26.4,56.0,59.0,66.0,76.0,272.1,393.1,1,2023-06-10 07:00:00,21.488349
2023-06-10 08:00:00,2023-06-09 16:30:00,18.0,71.0,1009.4,9.3,13.8,14.5,22.1,62.0,62.0,63.0,74.0,496.8,593.7,1,2023-06-10 08:00:00,43.6171
2023-06-10 09:00:00,2023-06-09 16:30:00,20.0,65.0,1009.6,10.0,14.2,14.9,15.7,69.0,69.0,70.0,70.0,649.5,693.6,1,2023-06-10 09:00:00,65.44436999999999
2023-06-10 10:00:00,2023-06-09 16:30:00,22.3,59.0,1009.6,11.3,16.1,16.8,17.2,73.0,74.0,75.0,74.0,716.2,734.1,1,2023-06-10 10:00:00,81.63842000000001
2023-06-10 11:00:00,2023-06-09 16:30:00,24.6,49.0,1009.7,12.4,17.5,18.2,18.9,80.0,82.0,81.0,81.0,750.3,765.2,1,2023-06-10 11:00:00,89.55676
2023-06-10 12:00:00,2023-06-09 16:30:00,26.1,44.0,1009.7,13.4,19.1,19.8,20.5,85.0,86.0,87.0,87.0,778.0,783.1,1,2023-06-10 12:00:00,93.6962
2023-06-10 13:00:00,2023-06-09 16:30:00,27.2,42.0,1009.6,14.1,20.5,21.3,22.0,87.0,88.0,88.0,88.0,760.3,718.8,1,2023-06-10 13:00:00,88.75390999999999
2023-06-10 14:00:00,2023-06-09 16:30:00,27.8,39.0,1009.5,15.9,23.8,24.5,25.2,85.0,87.0,87.0,88.0,613.0,526.2,1,2023-06-10 14:00:00,80.48375000000001
2023-06-10 15:00:00,2023-06-09 16:30:00,27.9,39.0,1009.5,17.3,26.0,27.4,28.1,85.0,86.0,86.0,87.0,614.0,728.2,1,2023-06-10 15:00:00,69.65198
2023-06-10 16:00:00,2023-06-09 16:30:00,27.6,39.0,1009.4,18.4,28.8,30.2,31.3,90.0,91.0,91.0,92.0,780.2,812.9,1,2023-06-10 16:00:00,53.93471000000001
2023-06-10 17:00:00,2023-06-09 16:30:00,27.2,43.0,1009.2,17.0,26.3,27.7,28.8,86.0,88.0,89.0,89.0,803.0,763.6,1,2023-06-10 17:00:00,32.74117
2023-06-10 18:00:00,2023-06-09 16:30:00,26.3,46.0,1009.2,16.6,26.6,28.1,29.2,89.0,89.0,89.0,89.0,640.6,505.4,1,2023-06-10 18:00:00,12.654969
2023-06-10 19:00:00,2023-06-09 16:30:00,25.1,45.0,1009.5,15.1,26.3,28.8,30.6,90.0,91.0,91.0,91.0,429.5,365.5,1,2023-06-10 19:00:00,4.705736000000001
2023-06-10 20:00:00,2023-06-09 16:30:00,23.6,50.0,1010.0,13.0,22.7,25.2,27.4,90.0,91.0,91.0,91.0,324.7,276.8,1,2023-06-10 20:00:00,0.34906407
2023-06-10 21:00:00,2023-06-09 16:30:00,21.8,56.0,1010.8,11.5,20.9,23.0,24.9,88.0,89.0,89.0,88.0,152.2,15.3,1,2023-06-10 21:00:00,0.0
2023-06-10 22:00:00,2023-06-09 16:30:00,20.2,63.0,1011.2,9.9,18.9,21.8,24.3,80.0,81.0,81.0,83.0,1.1,0.0,1,2023-06-10 22:00:00,0.0
2023-06-10 23:00:00,2023-06-09 16:30:00,19.3,65.0,1011.4,9.1,18.3,20.7,26.6,72.0,75.0,77.0,81.0,0.0,0.0,1,2023-06-10 23:00:00,0.0
2023-06-11 00:00:00,2023-06-09 16:30:00,18.5,66.0,1011.4,6.3,12.4,14.6,19.8,77.0,80.0,81.0,87.0,0.0,0.0,1,2023-06-11 00:00:00,0.0
2023-06-11 01:00:00,2023-06-09 16:30:00,18.1,69.0,1011.0,3.8,7.4,9.2,12.7,41.0,61.0,69.0,82.0,0.0,0.0,1,2023-06-11 01:00:00,0.0
2023-06-11 02:00:00,2023-06-09 16:30:00,17.8,70.0,1011.1,2.2,2.4,4.3,6.8,189.0,117.0,114.0,115.0,0.0,0.0,1,2023-06-11 02:00:00,0.0
2023-06-11 03:00:00,2023-06-09 16:30:00,17.6,70.0,1010.7,6.4,13.0,12.1,8.9,43.0,48.0,60.0,76.0,0.0,0.0,1,2023-06-11 03:00:00,0.0
