time,temperature_2m,relativehumidity_2m,surface_pressure,windspeed_10m,windspeed_80m,windspeed_120m,windspeed_180m,winddirection_10m,winddirection_80m,winddirection_120m,winddirection_180m,direct_normal_irradiance,direct_normal_irradiance_instant,api_called_at,customer_id
2023-06-24 16:00:00,33.9,20,995.2,9.4,10.4,10.8,10.8,7,2,4,4,826.4,804.7,2023-06-24 15:30:00,1
2023-06-24 17:00:00,33.9,18,994.9,11.4,12.7,13.0,13.4,13,7,6,6,775.6,738.5,2023-06-24 15:30:00,1
2023-06-24 18:00:00,33.4,19,995.0,13.2,14.9,14.9,14.9,11,7,7,7,686.2,617.7,2023-06-24 15:30:00,1
2023-06-24 19:00:00,32.8,21,995.1,14.0,14.7,15.1,15.5,29,25,25,25,509.4,381.6,2023-06-24 15:30:00,1
2023-06-24 20:00:00,30.1,29,995.5,25.2,35.6,37.8,39.0,56,57,56,55,115.4,0.0,2023-06-24 15:30:00,1
2023-06-24 21:00:00,28.4,33,995.8,23.0,33.3,36.8,39.7,50,51,50,47,0.0,0.0,2023-06-24 15:30:00,1
2023-06-24 22:00:00,27.0,40,996.5,17.5,28.1,33.2,37.0,58,59,56,49,0.0,0.0,2023-06-24 15:30:00,1
2023-06-24 23:00:00,25.9,45,996.5,13.6,23.9,28.1,31.8,58,59,54,47,0.0,0.0,2023-06-24 15:30:00,1
2023-06-25 00:00:00,25.0,48,996.4,11.3,21.0,25.2,29.5,59,59,53,45,0.0,0.0,2023-06-24 15:30:00,1
2023-06-25 01:00:00,24.1,51,996.2,9.8,19.2,23.2,27.3,54,56,49,40,0.0,0.0,2023-06-24 15:30:00,1
2023-06-25 02:00:00,23.5,51,995.9,8.9,18.4,22.4,25.4,50,51,46,38,0.0,0.0,2023-06-24 15:30:00,1
2023-06-25 03:00:00,22.9,53,995.6,8.4,17.7,21.4,23.2,50,51,45,36,0.0,0.0,2023-06-24 15:30:00,1
2023-06-25 04:00:00,22.4,55,995.3,6.8,15.1,18.4,20.0,58,57,48,38,0.0,0.0,2023-06-24 15:30:00,1
2023-06-25 05:00:00,22.0,58,995.6,4.8,11.9,14.6,16.7,63,61,50,37,0.0,0.0,2023-06-24 15:30:00,1
2023-06-25 06:00:00,21.7,60,995.9,3.4,9.2,11.4,13.3,72,69,55,38,0.0,54.3,2023-06-24 15:30:00,1
2023-06-25 07:00:00,22.2,60,996.4,2.5,6.8,8.9,11.1,82,65,47,29,191.5,352.9,2023-06-24 15:30:00,1
2023-06-25 08:00:00,24.0,52,996.7,1.1,3.9,6.1,8.4,108,68,45,20,472.8,582.8,2023-06-24 15:30:00,1
2023-06-25 09:00:00,26.2,43,996.9,0.7000000000000001,1.6,1.9,2.3,360,27,22,18,654.1,714.8,2023-06-24 15:30:00,1
2023-06-25 10:00:00,28.2,37,996.5,4.2,4.6,4.6,4.6,301,315,315,315,756.4,792.1,2023-06-24 15:30:00,1
2023-06-25 11:00:00,29.9,33,996.3,7.8,8.5,8.9,9.0,292,298,297,299,816.1,836.3,2023-06-24 15:30:00,1
2023-06-25 12:00:00,31.5,30,996.0,11.2,12.8,12.8,12.8,291,292,292,292,849.3,859.8,2023-06-24 15:30:00,1
2023-06-25 13:00:00,33.0,28,995.7,14.8,16.5,16.6,17.0,293,290,292,291,865.2,868.5,2023-06-24 15:30:00,1
2023-06-25 14:00:00,34.3,24,995.1,18.5,19.2,19.5,19.7,303,300,300,301,867.0,862.9,2023-06-24 15:30:00,1
2023-06-25 15:00:00,35.2,23,994.5,19.0,19.8,20.1,20.6,307,303,303,303,853.3,840.4,2023-06-24 15:30:00,1
2023-06-25 16:00:00,35.7,22,993.9,19.9,21.3,21.5,22.0,314,309,310,310,821.4,797.8,2023-06-24 15:30:00,1
2023-06-25 17:00:00,35.8,23,993.4,20.0,21.3,21.8,22.0,304,304,304,305,767.1,728.1,2023-06-24 15:30:00,1
2023-06-25 18:00:00,35.6,24,992.9,17.7,20.3,20.8,21.1,283,283,284,284,674.3,602.7,2023-06-24 15:30:00,1
2023-06-25 19:00:00,35.0,28,992.9,22.3,28.6,29.6,30.7,261,264,265,266,481.9,344.2,2023-06-24 15:30:00,1
2023-06-25 20:00:00,33.3,28,992.7,29.3,41.1,43.9,45.6,328,333,337,340,103.9,0.0,2023-06-24 15:30:00,1
2023-06-25 21:00:00,30.5,30,993.6,30.1,41.0,44.1,35.9,41,43,41,24,0.0,0.0,2023-06-24 15:30:00,1
2023-06-25 22:00:00,29.0,27,994.1,21.2,30.7,34.1,39.4,50,54,59,69,0.0,0.0,2023-06-24 15:30:00,1
2023-06-25 23:00:00,27.6,28,994.3,13.8,23.3,27.2,30.9,47,51,55,62,0.0,0.0,2023-06-24 15:30:00,1
2023-06-26 00:00:00,26.4,34,994.1,9.1,16.8,19.6,21.0,34,47,54,59,0.0,0.0,2023-06-24 15:30:00,1
2023-06-26 01:00:00,25.6,37,993.7,5.9,12.0,14.4,14.2,38,57,68,74,0.0,0.0,2023-06-24 15:30:00,1
2023-06-26 02:00:00,24.9,39,993.1,3.1,7.5,9.7,8.7,36,73,88,97,0.0,0.0,2023-06-24 15:30:00,1
2023-06-26 03:00:00,24.0,43,992.7,5.9,4.3,3.1,1.8,322,355,36,101,0.0,0.0,2023-06-24 15:30:00,1
2023-06-26 04:00:00,23.2,48,992.5,7.6,11.9,12.4,11.2,329,325,324,315,0.0,0.0,2023-06-24 15:30:00,1
2023-06-26 05:00:00,22.6,53,992.5,10.2,20.0,21.5,20.9,342,342,342,341,0.0,0.0,2023-06-24 15:30:00,1
2023-06-26 06:00:00,22.0,67,993.0,12.1,22.5,26.4,27.2,343,344,346,349,0.0,55.1,2023-06-24 15:30:00,1
2023-06-26 07:00:00,22.2,77,993.6,13.9,21.7,26.5,28.4,335,339,342,348,190.2,349.6,2023-06-24 15:30:00,1
2023-06-26 08:00:00,23.5,72,994.1,16.4,19.5,20.1,27.3,334,335,336,344,470.6,581.7,2023-06-24 15:30:00,1
2023-06-26 09:00:00,25.1,64,994.3,18.2,20.4,20.8,21.1,333,334,334,335,651.7,710.6,2023-06-24 15:30:00,1
2023-06-26 10:00:00,26.9,56,994.3,17.7,19.3,19.5,19.8,322,323,322,323,750.7,784.8,2023-06-24 15:30:00,1
2023-06-26 11:00:00,28.6,50,994.3,18.8,20.4,20.4,20.4,313,314,314,314,807.1,825.4,2023-06-24 15:30:00,1
2023-06-26 12:00:00,30.3,42,994.1,21.2,23.0,23.0,23.2,305,305,305,306,835.7,842.3,2023-06-24 15:30:00,1
2023-06-26 13:00:00,31.5,37,993.7,22.8,24.9,25.1,25.4,301,301,302,302,842.4,834.1,2023-06-24 15:30:00,1
2023-06-26 14:00:00,32.3,36,993.3,23.8,25.9,26.3,26.7,295,295,295,296,796.6,751.8,2023-06-24 15:30:00,1
2023-06-26 15:00:00,33.3,29,992.6,23.7,26.6,27.1,27.6,292,293,293,294,712.9,672.6,2023-06-24 15:30:00,1
2023-06-26 16:00:00,33.4,29,992.1,26.8,30.5,31.0,31.4,292,293,293,294,629.4,587.7,2023-06-24 15:30:00,1
2023-06-26 17:00:00,33.1,29,991.8,26.6,31.1,31.6,31.6,295,295,296,296,567.7,543.2,2023-06-24 15:30:00,1
2023-06-26 18:00:00,32.4,30,991.7,26.5,31.7,32.0,32.2,301,302,301,302,486.3,414.1,2023-06-24 15:30:00,1
2023-06-26 19:00:00,30.4,38,992.2,26.5,32.6,32.8,33.1,314,314,314,314,314.8,210.7,2023-06-24 15:30:00,1
2023-06-26 20:00:00,29.0,36,992.7,21.2,28.6,29.7,30.5,320,320,321,321,64.9,0.0,2023-06-24 15:30:00,1
2023-06-26 21:00:00,27.8,44,993.2,16.6,26.7,30.3,32.0,312,316,318,321,0.0,0.0,2023-06-24 15:30:00,1
2023-06-26 22:00:00,26.1,61,993.7,24.7,33.1,34.2,35.0,337,338,338,338,0.0,0.0,2023-06-24 15:30:00,1
2023-06-26 23:00:00,25.1,56,993.7,17.7,25.6,28.7,32.6,333,334,335,337,0.0,0.0,2023-06-24 15:30:00,1
